HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
IN,468,64,207,337,37,50,"140,148","28,030",5.868,1.27,391,1.89,1.16,0.84,196,0.95,0.58,0.42,128,0.62,0.38,0.27,85,2.3,1.7,1.33,42,1.14,0.84,0.66,28,0.76,0.56,0.44
AR,656,90,383,519,62,76,"198,305","39,661",8.365,1.826,558,1.46,1.08,0.85,279,0.73,0.54,0.43,182,0.48,0.35,0.28,122,1.97,1.61,1.36,61,0.98,0.8,0.68,40,0.65,0.53,0.44
OH,2.679,456,1.122,1.9,179,317,"767,671","153,534",32.132,6.949,2.142,1.91,1.13,0.8,1.071,0.95,0.56,0.4,699,0.62,0.37,0.26,463,2.59,1.46,1.02,232,1.3,0.73,0.51,151,0.84,0.48,0.33
KS,1.304,112,594,949,49,80,"352,693","70,539",14.705,3.165,980,1.65,1.03,0.75,490,0.82,0.52,0.38,320,0.54,0.34,0.25,211,4.31,2.64,1.88,106,2.16,1.33,0.95,69,1.41,0.86,0.62
MI,756,26,293,525,7,17,"189,619","37,924",8.202,1.842,547,1.87,1.04,0.72,273,0.93,0.52,0.36,178,0.61,0.34,0.24,123,17.57,7.24,4.73,61,8.71,3.59,2.35,40,5.71,2.35,1.54
AZ,2.677,335,1.184,1.93,161,248,"971,119","194,224",41.312,9.106,2.754,2.33,1.43,1.03,1.377,1.16,0.71,0.51,898,0.76,0.47,0.34,607,3.77,2.45,1.81,304,1.89,1.23,0.91,198,1.23,0.8,0.59
OK,4.185,486,1.783,2.984,159,323,"1,070,712","214,142",44.742,9.657,2.983,1.67,1,0.71,1.491,0.84,0.5,0.36,973,0.55,0.33,0.23,644,4.05,1.99,1.33,322,2.03,1,0.66,210,1.32,0.65,0.43
MS,1.634,104,818,1.226,61,83,"308,796","61,759",12.897,2.782,860,1.05,0.7,0.53,430,0.53,0.35,0.26,280,0.34,0.23,0.17,185,3.03,2.23,1.78,93,1.52,1.12,0.89,60,0.98,0.72,0.58
AL,1.066,143,297,681,37,90,"215,194","43,039",8.898,1.896,593,2,0.87,0.56,297,1,0.44,0.28,193,0.65,0.28,0.18,126,3.41,1.4,0.88,63,1.7,0.7,0.44,41,1.11,0.46,0.29
TX,1.338,224,527,932,127,176,"437,181","87,436",18.489,4.048,1.233,2.34,1.32,0.92,616,1.17,0.66,0.46,402,0.76,0.43,0.3,270,2.13,1.53,1.21,135,1.06,0.77,0.6,88,0.69,0.5,0.39
